id,question,gt,predicted,sas,model
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,"A physician assistant is a person who has successfully completed an accredited education program for physician assistant, is licensed by the state and is practicing within the scope of that license.",0.88,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-rag-bm25_100-ground_truth_rewrites-submission_correct_turn_no-2021-09-19-18-40-28
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician assistant is a medical professional who assists a doctor in the diagnosis and treatment of a patient.,0.92,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-no-run-identifier-2021-09-08-15-04-28
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant is a medical assistant.,0.87,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-21-49-44
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant is a medical professional who provides medical care to patients.,0.92,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-07-57
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant (PA) is a medical assistant who works under the supervision of a physician and is licensed to practice medicine in the state in which the patient resides.,0.83,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-04-10-39-42
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant (PA) is a medical assistant.,0.82,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-15-09-05-06
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant is a person who assists a physician in the performance of his or her duties.,0.88,gpt3-scai-qrecc21-test-dataset-2021-07-20-scai-qrecc21-gpt3-baseline-no-run-identifier-2021-07-21-08-56-42
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant (PA) is a medical professional who provides medical care for patients.,0.81,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-08-07-09-57
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant is a person who assists a physician in the administration of medical procedures.,0.89,ultron-scai-qrecc21-test-dataset-2021-07-20-ultron-no-run-identifier-2021-09-04-17-16-58
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,a physician's assistant (ad) is a person—typically a youth—who provides,0.81,ultron-scai-qrecc21-test-dataset-rewritten-2021-07-20-ultron-BART-large-top1BM25-2021-09-13-17-47-43
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,"A physician's assistant (PA) is a medical assistant who works for a supervising physician who is responsible for patients, cared for by the physician assistant.",0.83,rachael-scai-qrecc21-test-dataset-rewritten-2021-07-20-rachael-no-run-identifier-2021-09-06-09-21-43
1_1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,A physician's assistant (PA) is a medical assistant who works under the direct supervision of a physician and is licensed to practice medicine in the state in which the patient resides.,0.83,rachael-scai-qrecc21-test-dataset-2021-07-20-rachael-no-run-identifier-2021-09-04-10-38-07
